student_id,gender,parental_education,lunch_type,test_prep_course,weekly_study_hours,attendance_rate,math_score,reading_score,writing_score
1,Male,High School,Standard,Not Completed,2.0,92.3,51.0,47.4,41.5
2,Female,Some College,Free/Reduced,Not Completed,5.4,92.1,72.3,66.4,70.4
3,Male,Bachelor's,Free/Reduced,Completed,5.0,88.9,61.6,58.4,61.9
4,Male,High School,Standard,Completed,6.2,96.5,68.6,57.7,62.2
5,Male,High School,Standard,Not Completed,5.2,96.3,49.0,45.6,54.5
6,Female,Some College,Free/Reduced,Not Completed,3.1,76.0,73.3,63.1,68.8
7,Male,Master's,Free/Reduced,Completed,7.4,100.0,82.1,76.5,78.2
8,Male,Bachelor's,Standard,Not Completed,4.7,76.7,85.1,96.4,83.0
9,Male,Some College,Free/Reduced,Completed,4.9,98.3,65.5,67.1,71.3
10,Female,High School,Free/Reduced,Not Completed,3.1,99.0,40.8,46.2,53.5
11,Male,Some College,Standard,Completed,4.1,81.3,62.4,61.8,60.5
12,Male,Master's,Standard,Not Completed,3.2,86.7,94.0,88.5,92.8
13,Male,High School,Standard,Completed,4.7,81.2,69.0,71.8,65.2
14,Male,Some College,Free/Reduced,Not Completed,8.4,88.3,65.1,56.9,63.6
15,Female,Bachelor's,Standard,Completed,2.3,87.5,68.4,86.1,73.4
16,Male,Bachelor's,Standard,Completed,1.8,96.2,82.8,94.7,78.3
17,Female,Bachelor's,Free/Reduced,Completed,7.9,100.0,98.6,90.3,95.1
18,Female,Bachelor's,Free/Reduced,Not Completed,4.6,100.0,85.2,84.7,95.7
19,Female,Some College,Standard,Not Completed,3.7,85.5,57.3,60.5,66.7
20,Male,High School,Free/Reduced,Completed,7.1,88.3,56.2,54.7,60.8
21,Female,Bachelor's,Standard,Not Completed,3.8,76.5,63.3,64.4,54.2
22,Male,Bachelor's,Free/Reduced,Not Completed,8.7,83.6,74.2,71.5,74.1
23,Female,Bachelor's,Standard,Not Completed,6.4,97.7,56.4,78.4,69.1
24,Female,Master's,Standard,Completed,4.0,100.0,65.4,82.0,76.9
25,Female,Some College,Free/Reduced,Not Completed,9.3,80.1,68.6,72.7,62.4
26,Female,Some College,Standard,Completed,3.8,85.3,76.0,78.9,69.3
27,Female,Bachelor's,Standard,Completed,6.5,89.8,70.8,90.1,84.2
28,Female,Some College,Free/Reduced,Not Completed,5.6,92.2,55.2,54.9,60.4
29,Female,Bachelor's,Free/Reduced,Completed,7.6,83.5,72.9,71.5,64.6
30,Female,Bachelor's,Free/Reduced,Not Completed,8.1,93.4,70.9,64.3,63.1
31,Male,Bachelor's,Free/Reduced,Not Completed,5.1,86.2,76.4,82.6,79.0
32,Male,High School,Standard,Not Completed,3.5,89.9,82.0,80.8,84.4
33,Female,Some College,Standard,Not Completed,5.9,94.4,51.7,43.1,54.4
34,Female,High School,Standard,Completed,3.6,90.1,54.1,60.8,67.7
35,Female,Some College,Standard,Completed,9.0,86.5,68.5,64.3,60.6
36,Male,High School,Free/Reduced,Not Completed,5.3,89.1,58.4,56.9,47.7
37,Female,Some College,Standard,Completed,4.3,89.3,78.2,85.5,73.7
38,Male,Some College,Standard,Completed,5.4,87.0,79.6,53.1,65.0
39,Male,High School,Standard,Completed,2.3,87.9,51.6,64.6,69.0
40,Male,Some College,Free/Reduced,Completed,3.1,100.0,70.7,69.5,65.7
41,Male,High School,Standard,Completed,7.4,94.5,84.4,97.2,88.0
42,Male,High School,Standard,Completed,3.7,87.6,77.4,73.9,77.8
43,Female,Bachelor's,Standard,Not Completed,2.9,95.6,64.2,66.9,61.6
44,Female,Some College,Free/Reduced,Not Completed,6.1,87.3,65.6,70.5,67.0
45,Female,High School,Standard,Not Completed,7.4,99.4,68.0,71.8,79.1
46,Female,Some College,Free/Reduced,Completed,6.4,93.0,74.7,72.5,68.3
47,Female,Bachelor's,Free/Reduced,Completed,7.0,89.1,92.1,100.0,100.0
48,Male,High School,Standard,Completed,3.5,93.6,97.0,80.6,91.7
49,Female,Some College,Free/Reduced,Not Completed,2.2,77.4,38.1,43.6,46.8
